timestamp,endpoint,status_code,response_time_ms,concurrent_users
2025-10-01 00:00:00,/createOrder,200,317.9,183
2025-10-01 00:00:04,/getProducts,500,305.53,36
2025-10-01 00:00:08,/checkout,200,436.25,352
2025-10-01 00:00:36,/createOrder,400,302.71,48
2025-10-01 00:00:38,/cancelOrder,200,299.96,94
2025-10-01 00:00:48,/getOrder,200,260.87,456
2025-10-01 00:00:51,/getOrder,200,301.06,68
2025-10-01 00:01:03,/getProducts,200,275.12,83
2025-10-01 00:01:03,/addToCart,200,265.38,411
2025-10-01 00:01:12,/getUser,200,153.45,37
2025-10-01 00:01:20,/getUser,200,280.52,496
2025-10-01 00:01:24,/getUser,200,218.76,337
2025-10-01 00:01:30,/login,200,214.95,14
2025-10-01 00:01:54,/updateProfile,200,276.61,57
2025-10-01 00:02:24,/getOrder,200,248.76,370
2025-10-01 00:03:00,/createOrder,400,337.6,320
2025-10-01 00:03:10,/login,200,282.75,497
2025-10-01 00:03:27,/cancelOrder,200,281.59,436
2025-10-01 00:03:55,/getProducts,200,270.38,27
2025-10-01 00:04:00,/addToCart,200,172.71,67
2025-10-01 00:04:40,/cancelOrder,200,229.53,75
2025-10-01 00:05:00,/login,200,286.22,432
2025-10-01 00:05:06,/getProducts,200,313.45,361
2025-10-01 00:05:15,/logout,200,58.72,22
2025-10-01 00:05:38,/getUser,200,198.2,443
2025-10-01 00:05:50,/checkout,500,405.3,400
2025-10-01 00:06:11,/addToCart,200,267.21,87
2025-10-01 00:06:18,/getProducts,200,291.78,65
2025-10-01 00:06:24,/cancelOrder,200,283.23,123
2025-10-01 00:06:30,/createOrder,200,314.52,269
2025-10-01 00:06:35,/checkout,400,350.79,99
2025-10-01 00:06:35,/logout,200,55.12,321
2025-10-01 00:06:42,/getProducts,200,239.94,83
2025-10-01 00:07:20,/login,200,223.1,159
2025-10-01 00:07:28,/updateProfile,200,186.37,44
2025-10-01 00:07:31,/getOrder,200,304.07,475
2025-10-01 00:07:35,/getUser,200,173.15,102
2025-10-01 00:07:40,/updateProfile,200,275.72,328
2025-10-01 00:07:57,/getOrder,200,249.6,107
2025-10-01 00:07:58,/getUser,200,239.2,295
2025-10-01 00:08:00,/login,200,215.67,246
2025-10-01 00:08:26,/checkout,400,437.79,278
2025-10-01 00:08:28,/addToCart,500,250.11,272
2025-10-01 00:08:30,/updateProfile,200,274.53,43
2025-10-01 00:08:32,/updateProfile,200,294.34,481
2025-10-01 00:08:48,/checkout,200,383.41,494
2025-10-01 00:08:50,/createOrder,400,277.66,290
